Date : 2022-03-27 14:17:57
Directory : c:\Users\Idang\Documents\ISPOT_IDHM
Total : 47 files,  1681 codes, 194 comments, 328 blanks, all 2203 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         16 |      1,032 |         20 |        207 |      1,259 |
| JSON       |          3 |        180 |          0 |          3 |        183 |
| XML        |          9 |        126 |         46 |         11 |        183 |
| C++        |          6 |         99 |         27 |         39 |        165 |
| Groovy     |          3 |         90 |          3 |         22 |        115 |
| HTML       |          1 |         80 |         18 |          7 |        105 |
| YAML       |          2 |         33 |         79 |         21 |        133 |
| Markdown   |          3 |         15 |          0 |         11 |         26 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |         10 |          1 |          2 |         13 |
| kotlin     |          1 |          4 |          0 |          3 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |         47 |      1,681 |        194 |        328 |      2,203 |
| alpah                                                                                                        |         46 |      1,679 |        194 |        326 |      2,199 |
| alpah\android                                                                                                |         13 |        169 |         48 |         36 |        253 |
| alpah\android\app                                                                                            |          9 |        124 |         47 |         25 |        196 |
| alpah\android\app\src                                                                                        |          8 |         69 |         44 |         12 |        125 |
| alpah\android\app\src\debug                                                                                  |          1 |          4 |          3 |          1 |          8 |
| alpah\android\app\src\main                                                                                   |          6 |         61 |         38 |         10 |        109 |
| alpah\android\app\src\main\kotlin                                                                            |          1 |          4 |          0 |          3 |          7 |
| alpah\android\app\src\main\kotlin\com                                                                        |          1 |          4 |          0 |          3 |          7 |
| alpah\android\app\src\main\kotlin\com\example                                                                |          1 |          4 |          0 |          3 |          7 |
| alpah\android\app\src\main\kotlin\com\example\test323232                                                     |          1 |          4 |          0 |          3 |          7 |
| alpah\android\app\src\main\res                                                                               |          4 |         26 |         32 |          6 |         64 |
